message,label
Waypoint Mission Resumed,1
Waypoint Mission Start,1
Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,3
Weak GPS signal. Positioning accuracy may be compromised. Please fly with caution,2
Weak image transmission signal. Adjust antennas,2
Weak signal. Adjust antenna and avoid signal block.,3
Weak signal. Adjust antennas,2
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,3
Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight. Downlink Lost.,2
Weak signal. Make sure the remote controller is facing aircraft and avoid blocking the signal,2
Yaw Error.,2
Your aircraft has entered a Warning Zone (Class D). Please fly with caution.,2
Your aircraft is at the boundary of an Altitude Zone. Please fly away or land with caution,2
Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution,2
Your aircraft is flying in an Altitude Zone (nnn). Please fly with caution,2
Your palm is too close to the aircraft. Please step farther away.,2
Your palm is too far away from the aircraft. Please step closer.,2
