LineId,Content,EventId,EventTemplate
447,Pano shooting completed. The sky part is filled automatically,E176,E176
448,Pano successful,E218,E218
449,Panorama Captured Successfully,E153,E153
450,Payload mode enabled. Max altitude and distance set. Fly with caution,E118,E118
451,Payload mode enabled. Max altitude set to nnn and max distance set to nnn to ensure flight safety,E118,E118
452,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety,E118,E118
453,Payload mode enabled. Return the aircraft to an area nearby the home point promptly to ensure flight safety,E127,E127
454,Precision Landing,E38,E38
455,Precision Landing. Correcting Landing Position.,E38,E38
456,Precision Landing. Locating Landing Point,E38,E38
457,Precision Landing. Rectifying aircraft position.,E38,E38
458,Propeller Fell Off,E154,E154
459,Propeller Fell Off. Motor idle. Check whether propellers are installed,E103,E103
460,Propeller Guard Mounted Propeller Guard mounted. Forward Obstacle Sensing will be automatically switched off,E220,E220
461,Propeller guard or extra payload detected. Flight performance will be affected. Fly with caution,E128,E128
462,Propeller rotating too fast. Wind resistance affected. Return to home and land promptly. Check whether propeller on beeping ESC is warped or damaged,E144,E144
463,Propellers not installed,E194,E194
464,Propulsion output has been limited to ensure battery health.,E56,E56
465,QuickShot has ended,E109,E109
466,RTH : Ascending to RTH altitude.,E335,E335
467,RTH : Cruise.,E250,E250
468,RTH : Heading alignment.,E137,E137
469,RTH : Preascending.,E121,E121
470,RTH Altitude : 65FT.,E105,E105
471,RTH Altitude : 98FT.,E105,E105
472,RTH Altitude : 98FT. Data Recorder File Index is 1.,E191,E191
473,RTH altitude adjusted to nnn,E24,E24
474,RTK Base Station Data Not Received,E235,E235
475,RTK Base Station Data Not Received. Please make sure base station antenna is connected to the correct port,E235,E235
476,RTK signal weak. Move to an open area for takeoff or turn off RTK,E100,E100
477,Reaching maximum altitude...,E30,E30
478,Recenter Gimbal Pan,E89,E89
479,Recharge promptly,E98,E98
480,Rectifying aircraft position,E145,E145
481,Remote Controller Right Dial Locked. Lightly press it to adjust.,E86,E86
482,Remote ID error. Connect to network to obtain mobile device location. Flying without broadcasting required remote ID messages may violate local regulations,E78,E78
483,Remote ID functionality normal,E188,E188
484,Remote controller assisted takeoff initiated.,E241,E241
485,Remote controller battery level low. Recharge promptly,E283,E283
486,Remote controller disconnected from aircraft,E252,E252
487,Remote controller in high interference environment. Manually adjust flight route or return to home,E43,E43
488,Remote controller signal lost,E17,E17
489,Remote controller signal weak. Adjust remote controller antennas,E289,E289
490,Restart aircraft,E115,E115
491,Restart aircraft and DJI Fly,E115,E115
492,Return-to-Home Altitude : 65FT,E129,E129
493,Return-to-Home Altitude : 98FT,E129,E129
494,Return-to-Home Altitude : 98FT.,E129,E129
495,Returning to the Home Point,E195,E195
496,Right Dial Locked. Lightly press to adjust.,E86,E86
497,Running Flight Simulator. Restart aircraft to take off,E115,E115
498,SD card full. Change card or delete files,E97,E97
499,SD card malfunction. Change card,E65,E65
500,SD card speed low. Change card,E318,E318
501,SD card write speed is too slow. Not suitable for shooting a 4K video.,E237,E237
502,Satellite positioning off. Fly with Caution.,E95,E95
503,Sensing system is blocked or too close to the obstacle.,E239,E239
504,Set Flight Mode to GPS to fly safe,E146,E146
505,Setting new Maximum Flight Altitude to nnn,E30,E30
506,Setting new Return-To-Home altitude to nnn,E293,E293
507,Signal Lost. Aircraft returning to Home Point,E253,E253
508,"Sprayer turned OFF, sprayed nnn at nnn liters/min",E209,E209
509,Sprayer turned ON,E339,E339
510,Starting Smart Track,E71,E71
511,Strong Aircraft Interference,E99,E99
512,Strong Interference Detected. Be careful when flying long distances.,E49,E49
513,Strong Interference Now. Fly with caution.,E49,E49
514,Strong Interference to Aircraft. Signal interruption may be more likely. Fly with caution.,E49,E49
515,Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution,E114,E114
516,Strong Interference. Fly with caution.,E49,E49
517,Strong Remote Controller Interference,E114,E114
518,Strong Remote Controller Interference.,E114,E114
519,Strong wind warning. Aircraft unable to fly stably. Lower altitude immediately and manually return to home,E261,E261
520,Strong wind warning. Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually,E261,E261
521,Strong wind. Fly with caution,E60,E60
522,Strong wireless interference. Please fly with caution.,E66,E66
523,Strong wireless interference. Please fly with caution. Obstacle Avoidance Disabled. Landing gear lowered. Obstacle Avoidance Disabled.,E66,E66
524,Subject lost. Reselect subject,E19,E19
525,Subject lost. Searching …,E19,E19
526,Subject too Large. Move Away and retry,E292,E292
527,Subject too Small. Get Closer and retry,E20,E20
528,Switched to A (Attitude)-mode,E87,E87
529,Switched to P (Positioning)-mode.,E5,E5
530,Switched to S (Sport)-mode.,E255,E255
531,Switched to T (Tripod)-mode.,E72,E72
532,Switched to gimbal free mode. Use the RC to control aircraft yaw,E141,E141
533,Take off and retry this function.,E270,E270
534,Take off in P-Mode,E277,E277
535,Taking Off.,E90,E90
536,Tap Fly Flight Ended. Landing Gear Lowered,E102,E102
537,Tap the screen lightly to focus.,E35,E35
538,Tap the screen to focus.,E35,E35
539,Tap to choose a valid zone.,E266,E266
540,Target lost. QuickShots stopped,E109,E109
541,The aircraft is flying back to the start point,E119,E119
542,The flight attitude angle is larger in Sport mode. The gimbal will rotate when the aircraft starts or stops. Use Normal mode if required for stable shooting,E171,E171
543,The remaining battery is only enough for RTH. Return home now.,E74,E74
544,"Tip: Aircraft reached maximum distance, please pay attention to flight safety",E295,E295
545,Tip: Only the first camera can tap-zoom in dual gimbal control mode,E85,E85
546,"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available",E110,E110
547,"To take off in non-P mode, toggle Flight Mode Switch to another mode and then toggle it back.",E227,E227
548,Unable to take off,E331,E331
549,Unable to take off in low light environment. Ensure there are no metal and magnetic objects near the aircraft and calibrate compass,E181,E181
550,"Unknown Error, Cannot Takeoff. Contact DJI support",E33,E33
551,Upward Obstacle Detected,E152,E152
552,Video cache has stopped because there is not enough storage space. You can enable Auto Cache Clear or manually delete cache to get enough space,E160,E160
553,Vision sensor error. Contact DJI Support for assistance,E124,E124
554,Vision sensor(s) blocked. Fly with caution,E123,E123
555,Vision systems and obstacle avoidance disabled,E183,E183
556,Visual positioning inaccurate. Fly with caution,E267,E267
557,Warning,E140,E140
558,Warning. The remaining battery is only enough for RTH. Return home now.,E74,E74
559,Warning: Aircraft is less than nnn (minimum) away from the object below,E317,E317
560,Warning: Battery Temperature Below 15°C (59F). Warm battery to above 25°C (77F) before flying,E26,E26
561,Warning: Command Failed,E46,E46
562,Warning: Command Timeout,E147,E147
563,Warning: Critically low battery. Please change the battery,E282,E282
564,Warning: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary,E4,E4
565,Warning: Motor Obstructed,E122,E122
566,Warning: Motor Overloaded. Aircraft will decelerate to ensure safety,E101,E101
567,Waypoint Mission Paused,E273,E273
568,Waypoint Mission Resumed,E274,E274
569,Waypoint Mission Start,E2,E2
570,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,E11,E11
571,Weak GPS signal. Positioning accuracy may be compromised. Please fly with caution,E11,E11
572,Weak image transmission signal. Adjust antennas,E94,E94
573,Weak signal. Adjust antenna and avoid signal block.,E94,E94
574,Weak signal. Adjust antennas,E94,E94
575,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight.,E229,E229
576,Weak signal. Avoid blocking the antennas and keep the antennas parallel to and facing toward the aircraft during flight. Downlink Lost.,E229,E229
577,Weak signal. Make sure the remote controller is facing aircraft and avoid blocking the signal,E229,E229
578,Yaw Error.,E151,E151
579,Your aircraft has entered a Warning Zone (Class D). Please fly with caution.,E286,E286
580,Your aircraft is at the boundary of an Altitude Zone. Please fly away or land with caution,E287,E287
581,Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution,E288,E288
582,Your aircraft is flying in an Altitude Zone (nnn). Please fly with caution,E16,E16
583,Your palm is too close to the aircraft. Please step farther away.,E126,E126
584,Your palm is too far away from the aircraft. Please step closer.,E336,E336
